,iteration,node,betweeness_centrality,closeness_centrality,in_degree_centrality,avg_dist_from_phil,size_of_gcc
0,1000,philosophy,0.0012531032036883793,0.1040622070342033,0.010403120936280884,9.259757738896367,0.964935064935065
1,1000,awareness,0.0021127117355986018,0.09546417768593123,0.002600780234070221,9.259757738896367,0.964935064935065
2,1000,knowledge,0.0023896779423437423,0.08686535499945378,0.006501950585175553,9.259757738896367,0.964935064935065
3,1000,science,0.0019235640822116765,0.06689047530585707,0.014304291287386216,9.259757738896367,0.964935064935065
4,1000,language,0.0006485062401837434,0.013788863931906844,0.005201560468140442,9.259757738896367,0.964935064935065
5,1000,philosophy_of_logic,0.0002718997517437049,0.0119748154662226,0.0013003901170351106,9.259757738896367,0.964935064935065
6,1000,county_(united_states),4.3909276679107626e-05,0.0017338534893801473,0.0013003901170351106,9.259757738896367,0.964935064935065
7,1500,philosophy,0.0008425890463423975,0.09580339520189199,0.0071492403932082215,9.841059602649006,0.94375
8,1500,awareness,0.0014545831737520745,0.08940008341929484,0.0017873100983020554,9.841059602649006,0.94375
9,1500,knowledge,0.0015958125877696923,0.07951575907346704,0.004468275245755138,9.841059602649006,0.94375
10,1500,science,0.0011832950338312269,0.05817469150203314,0.009830205540661304,9.841059602649006,0.94375
11,1500,language,0.000373420145538108,0.012051892860996522,0.004468275245755138,9.841059602649006,0.94375
12,1500,philosophy_of_logic,0.0001571875398953147,0.01006173867766292,0.0008936550491510277,9.841059602649006,0.94375
13,1500,county_(united_states),4.9470190220860465e-05,0.004021447721179625,0.0035746201966041107,9.841059602649006,0.94375
14,2000,philosophy,0.000645391589919326,0.09350592764714309,0.006211180124223603,10.000736919675756,0.9358620689655173
15,2000,awareness,0.0011065895623616764,0.08686105617337987,0.0013802622498274672,10.000736919675756,0.9358620689655173
16,2000,knowledge,0.001200352204849956,0.07589721348801909,0.004830917874396135,10.000736919675756,0.9358620689655173
17,2000,science,0.0008828918873896385,0.05532637214533739,0.00759144237405107,10.000736919675756,0.9358620689655173
18,2000,language,0.00024273577496965803,0.00980175274398026,0.003450655624568668,10.000736919675756,0.9358620689655173
19,2000,philosophy_of_logic,0.00013088693748363912,0.01060857582596713,0.0006901311249137336,10.000736919675756,0.9358620689655173
20,2000,county_(united_states),2.9509054996311367e-05,0.0031055900621118015,0.0027605244996549345,10.000736919675756,0.9358620689655173
21,2500,philosophy,0.0005278050545247816,0.0920319461592523,0.00511654349061967,10.087461773700305,0.9289772727272727
22,2500,awareness,0.0009008863507157993,0.08522905850038408,0.0011370096645821489,10.087461773700305,0.9289772727272727
23,2500,knowledge,0.0009793787792650784,0.07482990702195162,0.003979533826037521,10.087461773700305,0.9289772727272727
24,2500,science,0.0007322729856840147,0.054873134695221294,0.006253553155201819,10.087461773700305,0.9289772727272727
25,2500,language,0.0002144813685461781,0.010251650404334558,0.0028425241614553724,10.087461773700305,0.9289772727272727
26,2500,philosophy_of_logic,0.0001179001498785467,0.011552855254484386,0.0005685048322910744,10.087461773700305,0.9289772727272727
27,2500,county_(united_states),2.5841128740503384e-05,0.003307664478784433,0.0028425241614553724,10.087461773700305,0.9289772727272727
28,3000,philosophy,0.00044175125342615386,0.09043829206036177,0.004312410158121706,10.193665628245068,0.9224137931034483
29,3000,awareness,0.0007607300805754286,0.08456074501318867,0.0009583133684714902,10.193665628245068,0.9224137931034483
30,3000,knowledge,0.0008135107498159561,0.07327950176111098,0.003833253473885961,10.193665628245068,0.9224137931034483
31,3000,science,0.000607436658607288,0.05253541220400652,0.005270723526593196,10.193665628245068,0.9224137931034483
32,3000,language,0.00017486465200557363,0.010180115783106977,0.002874940105414471,10.193665628245068,0.9224137931034483
33,3000,philosophy_of_logic,9.569364814478243e-05,0.011026720631263443,0.0004791566842357451,10.193665628245068,0.9224137931034483
34,3000,county_(united_states),2.868514632637363e-05,0.004498748868657828,0.003833253473885961,10.193665628245068,0.9224137931034483
35,3500,philosophy,0.00038239132532951744,0.08898599954455542,0.004182350480970305,10.274223034734918,0.9147157190635451
36,3500,awareness,0.0006621472103442536,0.08368084672631244,0.000836470096194061,10.274223034734918,0.9147157190635451
37,3500,knowledge,0.0007058590673778061,0.07232555758376165,0.003345880384776244,10.274223034734918,0.9147157190635451
38,3500,science,0.0005292631649622539,0.05220274873316978,0.004600585529067336,10.274223034734918,0.9147157190635451
39,3500,language,0.00015159272019236016,0.010255231835753605,0.002509410288582183,10.274223034734918,0.9147157190635451
40,3500,philosophy_of_logic,8.13040540824077e-05,0.010668759824063777,0.0004182350480970305,10.274223034734918,0.9147157190635451
41,3500,county_(united_states),2.8150435929607824e-05,0.005036247037501743,0.004182350480970305,10.274223034734918,0.9147157190635451
42,4000,philosophy,0.0003371619118191923,0.08781352937918967,0.003705075954057058,10.362489829129373,0.9103703703703704
43,4000,awareness,0.0005877348263417178,0.0831389625482623,0.0007410151908114116,10.362489829129373,0.9103703703703704
44,4000,knowledge,0.0006264322863063137,0.07159003274225102,0.0029640607632456465,10.362489829129373,0.9103703703703704
45,4000,science,0.0004675256953878666,0.05155081097029924,0.004075583549462764,10.362489829129373,0.9103703703703704
46,4000,language,0.00012185583137787658,0.009077436087439793,0.002223045572434235,10.362489829129373,0.9103703703703704
47,4000,philosophy_of_logic,6.737749234970428e-05,0.009879928216005106,0.0003705075954057058,10.362489829129373,0.9103703703703704
48,4000,county_(united_states),2.703333196108298e-05,0.005270769341094073,0.00444609114486847,10.362489829129373,0.9103703703703704
49,4500,philosophy,0.00030387436430588395,0.0872705418470189,0.0033590863285186427,10.365491651205938,0.9049697783747481
