,iteration,node,betweeness_centrality,closeness_centrality,in_degree,avg_dist_from_phil,size_of_gcc
0,100,philosophy,0.010869565217391304,0.125,0.02197802197802198,7.913043478260869,1.0
1,100,awareness,0.01564739608217869,0.10137242669993762,0.02197802197802198,7.913043478260869,1.0
2,100,knowledge,0.01743908265647396,0.09274242241275209,0.03296703296703297,7.913043478260869,1.0
3,100,science,0.013736263736263736,0.06067172264355363,0.02197802197802198,7.913043478260869,1.0
4,100,language,0.007405637840420449,0.019536019536019536,0.01098901098901099,7.913043478260869,1.0
5,100,philosophy_of_logic,0.005852842809364548,0.035361286757934804,0.01098901098901099,7.913043478260869,1.0
6,200,philosophy,0.0052820410603946575,0.10430617271725812,0.011560693641618497,8.75625,0.9195402298850575
7,200,awareness,0.00873696099926915,0.09538128056914184,0.011560693641618497,8.75625,0.9195402298850575
8,200,knowledge,0.009035944455517905,0.07790484067979186,0.023121387283236993,8.75625,0.9195402298850575
9,200,science,0.005946448740947445,0.055953757225433526,0.023121387283236993,8.75625,0.9195402298850575
10,200,language,0.00205966380971364,0.010276172125883108,0.005780346820809248,8.75625,0.9195402298850575
11,200,philosophy_of_logic,0.001760680353464886,0.0193441309448864,0.005780346820809248,8.75625,0.9195402298850575
12,300,philosophy,0.003860294117647059,0.10592739009682989,0.00784313725490196,9.292490118577074,0.98828125
13,300,awareness,0.006878063725490196,0.10372621373272556,0.00784313725490196,9.292490118577074,0.98828125
14,300,knowledge,0.008348651960784314,0.09516630355846042,0.01568627450980392,9.292490118577074,0.98828125
15,300,science,0.004273897058823529,0.05816382627817482,0.023529411764705882,9.292490118577074,0.98828125
16,300,language,0.0009497549019607843,0.006971677559912854,0.00392156862745098,9.292490118577074,0.98828125
17,300,philosophy_of_logic,0.0008118872549019607,0.013123665307707241,0.00392156862745098,9.292490118577074,0.98828125
18,400,philosophy,0.0027872183560806317,0.0992736802850322,0.006006006006006006,9.347266881028938,0.9311377245508982
19,400,awareness,0.004936073798349248,0.0965539415218216,0.006006006006006006,9.347266881028938,0.9311377245508982
20,400,knowledge,0.006032979086871303,0.08979936039467008,0.012012012012012012,9.347266881028938,0.9311377245508982
21,400,science,0.0032277786768804733,0.056500681203769096,0.02102102102102102,9.347266881028938,0.9311377245508982
22,400,language,0.0009350668033302765,0.010326115589273484,0.006006006006006006,9.347266881028938,0.9311377245508982
23,400,philosophy_of_logic,0.0006203808599018181,0.013249891112486532,0.003003003003003003,9.347266881028938,0.9311377245508982
24,500,philosophy,0.0022866873441586087,0.09789022524113195,0.0049382716049382715,9.458885941644562,0.9285714285714286
25,500,awareness,0.004080763850878793,0.0960480989366027,0.0049382716049382715,9.458885941644562,0.9285714285714286
26,500,knowledge,0.004810557684120902,0.08669424077207495,0.012345679012345678,9.458885941644562,0.9285714285714286
27,500,science,0.002718482028826856,0.0585042735042735,0.019753086419753086,9.458885941644562,0.9285714285714286
28,500,language,0.000760201909627197,0.011326670585929845,0.007407407407407408,9.458885941644562,0.9285714285714286
29,500,philosophy_of_logic,0.0004804476068843885,0.012313296903460837,0.0024691358024691358,9.458885941644562,0.9285714285714286
30,600,philosophy,0.0019274081774081774,0.09718541421279937,0.004166666666666667,9.51793721973094,0.9272349272349273
31,600,awareness,0.0034086971586971583,0.09474933745583039,0.004166666666666667,9.51793721973094,0.9272349272349273
32,600,knowledge,0.004088704088704089,0.08689015792442188,0.010416666666666666,9.51793721973094,0.9272349272349273
33,600,science,0.0022652460152460152,0.05715638528138527,0.016666666666666666,9.51793721973094,0.9272349272349273
34,600,language,0.0007536382536382536,0.011428571428571429,0.00625,9.51793721973094,0.9272349272349273
35,600,philosophy_of_logic,0.0004374566874566874,0.012891914191419142,0.0020833333333333333,9.51793721973094,0.9272349272349273
36,700,philosophy,0.001645689010309949,0.09319597595590703,0.0036101083032490976,9.781065088757396,0.9135135135135135
37,700,awareness,0.002897843692067519,0.0899687511642213,0.0036101083032490976,9.781065088757396,0.9135135135135135
38,700,knowledge,0.0032751162715061633,0.07997323417531188,0.009025270758122744,9.781065088757396,0.9135135135135135
39,700,science,0.001844082349497512,0.052619181214732635,0.01444043321299639,9.781065088757396,0.9135135135135135
40,700,language,0.0005659088691579667,0.009902011346054666,0.005415162454873647,9.781065088757396,0.9135135135135135
41,700,philosophy_of_logic,0.0003870296289068852,0.013090403128760529,0.0018050541516245488,9.781065088757396,0.9135135135135135
42,800,philosophy,0.0014661720544073484,0.09535589144895554,0.003179650238473768,9.670103092783505,0.9238095238095239
43,800,awareness,0.002601761425290837,0.09304090186443127,0.003179650238473768,9.670103092783505,0.9238095238095239
44,800,knowledge,0.002995432407197113,0.0847463150765066,0.007949125596184421,9.670103092783505,0.9238095238095239
45,800,science,0.001814419461478285,0.056915739268680446,0.012718600953895072,9.670103092783505,0.9238095238095239
46,800,language,0.00043909455674161555,0.008721326368385192,0.004769475357710652,9.670103092783505,0.9238095238095239
47,800,philosophy_of_logic,0.0003255356196532667,0.012644512016299566,0.001589825119236884,9.670103092783505,0.9238095238095239
48,900,philosophy,0.0013168001755733565,0.09520138790012997,0.0028530670470756064,9.694915254237289,0.9245014245014245
49,900,awareness,0.0023673953773811116,0.09420962004812221,0.0028530670470756064,9.694915254237289,0.9245014245014245
50,900,knowledge,0.0026254719550011987,0.08258173090236062,0.007132667617689016,9.694915254237289,0.9245014245014245
51,900,science,0.0015992619416299871,0.05469232718585654,0.011412268188302425,9.694915254237289,0.9245014245014245
52,900,language,0.0003535852323298828,0.007825555329121664,0.0042796005706134095,9.694915254237289,0.9245014245014245
53,900,philosophy_of_logic,0.00026214077569284417,0.011345788956137557,0.0014265335235378032,9.694915254237289,0.9245014245014245
54,1000,philosophy,0.0012000628445166489,0.09441015355449127,0.00388098318240621,9.824756606397775,0.9289405684754521
55,1000,awareness,0.002131030817212712,0.09145079355062632,0.00258732212160414,9.824756606397775,0.9289405684754521
56,1000,knowledge,0.002329927026819232,0.07989674462032198,0.00646830530401035,9.824756606397775,0.9289405684754521
57,1000,science,0.0013755595000518135,0.05158074580664799,0.01034928848641656,9.824756606397775,0.9289405684754521
58,1000,language,0.00038442124545797943,0.009812658713046813,0.00517464424320828,9.824756606397775,0.9289405684754521
59,1000,philosophy_of_logic,0.0002523809046267604,0.012128072445019405,0.00129366106080207,9.824756606397775,0.9289405684754521
60,1100,philosophy,0.0011055432874695656,0.09372019200039335,0.0035714285714285718,9.907928388746804,0.929845422116528
61,1100,awareness,0.0019605345110695884,0.09061773811416157,0.002380952380952381,9.907928388746804,0.929845422116528
62,1100,knowledge,0.0021134137364815127,0.07746531436599931,0.005952380952380953,9.907928388746804,0.929845422116528
63,1100,science,0.0012669158031821527,0.050642592366287834,0.009523809523809525,9.907928388746804,0.929845422116528
64,1100,language,0.000345393805560274,0.009174603174603174,0.004761904761904762,9.907928388746804,0.929845422116528
65,1100,philosophy_of_logic,0.0002363965800351056,0.012240582800284292,0.0011904761904761906,9.907928388746804,0.929845422116528
66,1200,philosophy,0.001024274462225817,0.09265171345303069,0.003293084522502744,10.070422535211268,0.9342105263157895
67,1200,awareness,0.0018258805630981955,0.0899708899470883,0.0021953896816684962,10.070422535211268,0.9342105263157895
68,1200,knowledge,0.001970314094786912,0.07584154689434579,0.005488474204171241,10.070422535211268,0.9342105263157895
69,1200,science,0.001178336896027115,0.05042620373758317,0.008781558726673985,10.070422535211268,0.9342105263157895
70,1200,language,0.00030210680378223273,0.008846553815933907,0.0043907793633369925,10.070422535211268,0.9342105263157895
71,1200,philosophy_of_logic,0.00021063223371271206,0.01165280820515347,0.0010976948408342481,10.070422535211268,0.9342105263157895
72,1300,philosophy,0.0009493849364256753,0.09201351537350351,0.0030674846625766876,10.09010989010989,0.9295199182839632
73,1300,awareness,0.001703461860627367,0.09000353388108491,0.002044989775051125,10.09010989010989,0.9295199182839632
74,1300,knowledge,0.001831926488988597,0.07581043833911265,0.005112474437627812,10.09010989010989,0.9295199182839632
75,1300,science,0.0010935159828797383,0.04936454587748323,0.0081799591002045,10.09010989010989,0.9295199182839632
76,1300,language,0.00026946239119672637,0.008549376607955671,0.00408997955010225,10.09010989010989,0.9295199182839632
77,1300,philosophy_of_logic,0.00018486373349542855,0.010982247446599105,0.0010224948875255625,10.09010989010989,0.9295199182839632
78,1400,philosophy,0.0008908137813483798,0.09224964721299492,0.0028763183125599234,10.071060762100927,0.9300766283524904
79,1400,awareness,0.0016043831711501232,0.09072616502081707,0.0019175455417066154,10.071060762100927,0.9300766283524904
80,1400,knowledge,0.001732035867652623,0.0771525485533995,0.004793863854266538,10.071060762100927,0.9300766283524904
81,1400,science,0.0010533643373263832,0.051090408836949285,0.007670182166826462,10.071060762100927,0.9300766283524904
82,1400,language,0.00025622375772803914,0.00868031776468977,0.003835091083413231,10.071060762100927,0.9300766283524904
83,1400,philosophy_of_logic,0.00016806074431624074,0.010600263438499655,0.0009587727708533077,10.071060762100927,0.9300766283524904
84,1500,philosophy,0.0008370631602202712,0.0916652214356662,0.0027149321266968325,10.08984375,0.9258589511754068
85,1500,awareness,0.0015080228780898922,0.09016195842461233,0.0018099547511312218,10.08984375,0.9258589511754068
86,1500,knowledge,0.0016438513087805716,0.07723733394079335,0.004524886877828055,10.08984375,0.9258589511754068
87,1500,science,0.001043260536931423,0.05199712052653229,0.007239819004524887,10.08984375,0.9258589511754068
88,1500,language,0.0002569284773305622,0.009573968301065697,0.004524886877828055,10.08984375,0.9258589511754068
89,1500,philosophy_of_logic,0.00015792100676687422,0.010570686303184626,0.0009049773755656109,10.08984375,0.9258589511754068
90,1600,philosophy,0.0007961083703434619,0.0913754217794732,0.0025684931506849314,10.175551470588236,0.93071000855432
91,1600,awareness,0.0014332880227802712,0.08998983892819509,0.0017123287671232876,10.175551470588236,0.93071000855432
92,1600,knowledge,0.0015570620012421341,0.07714621311552108,0.004280821917808219,10.175551470588236,0.93071000855432
93,1600,science,0.0009455160129838171,0.04967574031628734,0.00684931506849315,10.175551470588236,0.93071000855432
94,1600,language,0.00023509732003702968,0.009029858732876712,0.004280821917808219,10.175551470588236,0.93071000855432
95,1600,philosophy_of_logic,0.00015160481385565464,0.010345157112990295,0.0008561643835616438,10.175551470588236,0.93071000855432
96,1700,philosophy,0.0007484278451667077,0.09078482099483716,0.002423263327948304,10.205395996518712,0.927360774818402
97,1700,awareness,0.0013358263543088713,0.08869954157038157,0.0016155088852988692,10.205395996518712,0.927360774818402
98,1700,knowledge,0.0014505679054842551,0.07573815183135148,0.004038772213247173,10.205395996518712,0.927360774818402
99,1700,science,0.0008833795559241193,0.04869714962851821,0.006462035541195477,10.205395996518712,0.927360774818402
100,1700,language,0.00023665444929922902,0.009134649153613823,0.004038772213247173,10.205395996518712,0.927360774818402
101,1700,philosophy_of_logic,0.0001545099297077611,0.010994303870430818,0.0008077544426494346,10.205395996518712,0.927360774818402
102,1800,philosophy,0.0007123033684791091,0.0910909496587943,0.0030651340996168583,10.204115226337448,0.9303215926493109
103,1800,awareness,0.001251518191899456,0.08715552809789347,0.0015325670498084292,10.204115226337448,0.9303215926493109
104,1800,knowledge,0.0013547845781040056,0.07440889845170465,0.004597701149425287,10.204115226337448,0.9303215926493109
105,1800,science,0.0008278913121285197,0.048000805798651056,0.006130268199233717,10.204115226337448,0.9303215926493109
106,1800,language,0.0002376300364366056,0.009763353617308993,0.003831417624521073,10.204115226337448,0.9303215926493109
107,1800,philosophy_of_logic,0.0001543128384761167,0.011616777006078821,0.0007662835249042146,10.204115226337448,0.9303215926493109
108,1900,philosophy,0.0006751684731410539,0.09060694349506299,0.0029175784099197666,10.215578284815106,0.9263848396501457
