,iteration,node,betweeness_centrality,closeness_centrality,in_degree,avg_dist_from_phil
0,50,philosophy,0.015957446808510637,0.10366341385378339,0.0425531914893617,7.1891891891891895
1,50,awareness,0.01551418439716312,0.07985631389886709,0.02127659574468085,7.1891891891891895
2,50,knowledge,0.022163120567375887,0.09078014184397162,0.0425531914893617,7.1891891891891895
3,50,science,0.020833333333333332,0.0677491601343785,0.0425531914893617,7.1891891891891895
4,50,language,0.0398936170212766,0.03927986906710311,0.02127659574468085,7.1891891891891895
5,80,philosophy,0.013640238704177323,0.12816020025031288,0.029411764705882353,7.230769230769231
6,80,awareness,0.017689684569479967,0.11085465576365075,0.029411764705882353,7.230769230769231
7,80,knowledge,0.01896845694799659,0.09738304770727188,0.044117647058823525,7.230769230769231
8,80,science,0.016837169650468883,0.06474175035868006,0.029411764705882353,7.230769230769231
9,80,language,0.02514919011082694,0.0427807486631016,0.029411764705882353,7.230769230769231
10,110,philosophy,0.011108273748723188,0.13151584653878232,0.022727272727272728,7.431818181818182
11,110,awareness,0.014172625127681308,0.11270491803278689,0.022727272727272728,7.431818181818182
12,110,knowledge,0.014427987742594484,0.0960297418630752,0.03409090909090909,7.431818181818182
13,110,science,0.012640449438202247,0.06747891283973757,0.03409090909090909,7.431818181818182
14,110,language,0.02311031664964249,0.05821535022354695,0.022727272727272728,7.431818181818182
15,140,philosophy,0.00859049207673061,0.11670296790090863,0.01834862385321101,8.01923076923077
16,140,awareness,0.009591326105087573,0.0914335565936849,0.01834862385321101,8.01923076923077
17,140,knowledge,0.009924937447873228,0.07709463226722085,0.027522935779816515,8.01923076923077
18,140,science,0.008924103419516263,0.05440206019636246,0.027522935779816515,8.01923076923077
19,140,language,0.023269391159299418,0.07155963302752294,0.027522935779816515,8.01923076923077
20,170,philosophy,0.006870229007633588,0.10911917098445596,0.015384615384615385,8.177966101694915
21,170,awareness,0.008396946564885497,0.087532557735718,0.015384615384615385,8.177966101694915
22,170,knowledge,0.009453904873752202,0.07608342361863489,0.023076923076923078,8.177966101694915
23,170,science,0.008866705813270698,0.05513491743858236,0.023076923076923078,8.177966101694915
24,170,language,0.01638285378743394,0.06,0.023076923076923078,8.177966101694915
25,200,philosophy,0.0059254095503659815,0.09629722187513017,0.013245033112582781,9.284671532846716
26,200,awareness,0.0064046706169397,0.07739340072034391,0.013245033112582781,9.284671532846716
27,200,knowledge,0.007276054374346462,0.06790885621281849,0.019867549668874173,9.284671532846716
28,200,science,0.006578947368421052,0.04746714746368018,0.019867549668874173,9.284671532846716
29,200,language,0.01734053677239456,0.05394340758579169,0.019867549668874173,9.284671532846716
30,230,philosophy,0.005377066810055115,0.09759817003431186,0.01744186046511628,9.472049689440993
31,230,awareness,0.0049401801317381375,0.06794420644634842,0.011627906976744186,9.472049689440993
32,230,knowledge,0.005612313482995027,0.05961765865195113,0.01744186046511628,9.472049689440993
33,230,science,0.005074606801989515,0.041671739924509926,0.01744186046511628,9.472049689440993
34,230,language,0.01878612716763006,0.07271519783753554,0.029069767441860465,9.472049689440993
35,260,philosophy,0.004668609671848014,0.09533957696228337,0.015625,9.39655172413793
36,260,awareness,0.00429080310880829,0.0641128369493754,0.010416666666666666,9.39655172413793
37,260,knowledge,0.004992443868739206,0.05700061274509804,0.015625,9.39655172413793
38,260,science,0.0047225820379965455,0.041870471014492754,0.015625,9.39655172413793
39,260,language,0.015651986183074264,0.06893864829396325,0.026041666666666664,9.39655172413793
40,290,philosophy,0.004014742661576938,0.09093426958512206,0.014084507042253521,9.396739130434783
41,290,awareness,0.0037953578166820237,0.06091755209620295,0.009389671361502348,9.396739130434783
42,290,knowledge,0.004519327804835242,0.054820505524730875,0.014084507042253521,9.396739130434783
43,290,science,0.004453512351366768,0.04206842007841553,0.014084507042253521,9.396739130434783
44,290,language,0.013185029178184371,0.065992583255695,0.028169014084507043,9.396739130434783
45,320,philosophy,0.0038699974322291917,0.09289122664991936,0.012875536480686695,9.702830188679245
46,320,awareness,0.004126774513040607,0.06447534116316722,0.008583690987124463,9.702830188679245
47,320,knowledge,0.005208906496460144,0.05972086107262343,0.012875536480686695,9.702830188679245
48,320,science,0.005630754557793184,0.050385568233364736,0.012875536480686695,9.702830188679245
49,320,language,0.011279850335644326,0.06026897688455016,0.02575107296137339,9.702830188679245
50,350,philosophy,0.0035255802188073103,0.09055004843514425,0.01195219123505976,9.767857142857142
51,350,awareness,0.0036204388794030223,0.06134702894582807,0.00796812749003984,9.767857142857142
52,350,knowledge,0.004584835262126098,0.057191793573370064,0.01195219123505976,9.767857142857142
53,350,science,0.0049800796812749,0.04877071192092796,0.01195219123505976,9.767857142857142
54,350,language,0.010829697084677164,0.06258106139714929,0.02390438247011952,9.767857142857142
55,380,philosophy,0.003252699193658603,0.08807413626893056,0.011111111111111112,9.96652719665272
56,380,awareness,0.0031296979636463032,0.05703001579778831,0.007407407407407408,9.96652719665272
57,380,knowledge,0.003963372967063004,0.05316718587746625,0.011111111111111112,9.96652719665272
58,380,science,0.004305043050430504,0.04533869885982562,0.011111111111111112,9.96652719665272
59,380,language,0.01079677463441301,0.06608713977135029,0.022222222222222223,9.96652719665272
60,410,philosophy,0.0031455671699574137,0.08976374606951645,0.010452961672473868,10.053639846743295
61,410,awareness,0.003133468834688347,0.05809877594911077,0.006968641114982578,10.053639846743295
62,410,knowledge,0.003944057297715835,0.054115998645244204,0.010452961672473868,10.053639846743295
63,410,science,0.004391695702671313,0.04751346214760849,0.010452961672473868,10.053639846743295
64,410,language,0.010150503290747194,0.06722270219977404,0.020905923344947737,10.053639846743295
65,440,philosophy,0.0029893924783027962,0.0892365012037143,0.009836065573770491,10.214285714285714
66,440,awareness,0.0027965284474445514,0.054915595704235654,0.006557377049180328,10.214285714285714
67,440,knowledge,0.0035251258973534767,0.05118803989573684,0.009836065573770491,10.214285714285714
68,440,science,0.003932283295831994,0.04502623494549113,0.009836065573770491,10.214285714285714
69,440,language,0.01003964427300975,0.06839236003711724,0.019672131147540982,10.214285714285714
70,470,philosophy,0.002797046319087044,0.08881231293906587,0.009174311926605505,10.295681063122924
71,470,awareness,0.0026758409785932725,0.055537449552148004,0.0061162079510703364,10.295681063122924
72,470,knowledge,0.0034310434847467743,0.052620600661116124,0.009174311926605505,10.295681063122924
73,470,science,0.003906541358991572,0.047660594523614375,0.012232415902140673,10.295681063122924
74,470,language,0.009258223316178116,0.06688467011838799,0.021406727828746176,10.295681063122924
75,500,philosophy,0.0026168471959985428,0.08757439210272906,0.008645533141210374,10.365930599369085
76,500,awareness,0.0025423167378846603,0.05520547880594481,0.005763688760806916,10.365930599369085
77,500,knowledge,0.003295902481036139,0.05280048000436368,0.008645533141210374,10.365930599369085
78,500,science,0.0038010533638080097,0.048639544893147195,0.011527377521613832,10.365930599369085
79,500,language,0.008571002683096492,0.0652764939372519,0.020172910662824207,10.365930599369085
80,530,philosophy,0.002487856888994195,0.08791612706783487,0.008174386920980926,10.382789317507418
