,iteration,node,betweeness_centrality,closeness_centrality,in_degree_centrality,avg_dist_from_phil,size_of_gcc
0,500,philosophy,0.0023718194604270553,0.10188837071581909,0.012658227848101266,9.193548387096774,0.9393939393939394
1,500,awareness,0.003957294463623578,0.09142361975526149,0.005063291139240506,9.193548387096774,0.9393939393939394
2,500,knowledge,0.004213016238332694,0.08067790907943984,0.010126582278481013,9.193548387096774,0.9393939393939394
3,500,science,0.0027554021224907303,0.0492102039500548,0.01518987341772152,9.193548387096774,0.9393939393939394
4,500,language,0.0010676384094105613,0.014097268487674883,0.005063291139240506,9.193548387096774,0.9393939393939394
5,500,philosophy_of_logic,0.0005434087712568725,0.012651056047620755,0.002531645569620253,9.193548387096774,0.9393939393939394
6,500,county_(united_states),0.0001086817542513745,0.002531645569620253,0.002531645569620253,9.193548387096774,0.9393939393939394
7,1000,philosophy,0.0012330082368992876,0.09666277603491105,0.007792207792207792,9.821282401091405,0.9507133592736705
8,1000,awareness,0.002147657789681136,0.09057626800837526,0.0025974025974025974,9.821282401091405,0.9507133592736705
9,1000,knowledge,0.0023228392878198324,0.07882791365937433,0.005194805194805195,9.821282401091405,0.9507133592736705
10,1000,science,0.0014267185473411154,0.04834404725709073,0.012987012987012988,9.821282401091405,0.9507133592736705
11,1000,language,0.000352047433759496,0.008737662337662338,0.0025974025974025974,9.821282401091405,0.9507133592736705
12,1000,philosophy_of_logic,0.00021392356022706217,0.009707241910631742,0.0012987012987012987,9.821282401091405,0.9507133592736705
13,1000,county_(united_states),4.3795374534674145e-05,0.0025974025974025974,0.0025974025974025974,9.821282401091405,0.9507133592736705
14,1500,philosophy,0.0008509733007126901,0.0943899256906234,0.005429864253393665,9.961575408261288,0.9412296564195298
15,1500,awareness,0.0014802025971050541,0.08862336620134525,0.0018099547511312218,9.961575408261288,0.9412296564195298
16,1500,knowledge,0.0015751188498768544,0.07688958003510624,0.0036199095022624436,9.961575408261288,0.9412296564195298
17,1500,science,0.0010890821762005677,0.05171084823449658,0.00904977375565611,9.961575408261288,0.9412296564195298
18,1500,language,0.000245473067513276,0.008582688658589986,0.0027149321266968325,9.961575408261288,0.9412296564195298
19,1500,philosophy_of_logic,0.00016119398100038456,0.010547818828801125,0.0009049773755656109,9.961575408261288,0.9412296564195298
20,1500,county_(united_states),3.600271656861381e-05,0.0036199095022624436,0.0036199095022624436,9.961575408261288,0.9412296564195298
21,2000,philosophy,0.0006479182295210347,0.08994401798509025,0.004178272980501393,10.343796711509716,0.9311064718162839
22,2000,awareness,0.00113058581112384,0.08457043472202697,0.001392757660167131,10.343796711509716,0.9311064718162839
23,2000,knowledge,0.0012367145263557822,0.07308740626603372,0.002785515320334262,10.343796711509716,0.9311064718162839
24,2000,science,0.0008117150594223883,0.05015420227020647,0.00766016713091922,10.343796711509716,0.9311064718162839
25,2000,language,0.00018608870616011768,0.008288329259280315,0.002785515320334262,10.343796711509716,0.9311064718162839
26,2000,philosophy_of_logic,0.00012938980350195683,0.010739533675107401,0.0006963788300835655,10.343796711509716,0.9311064718162839
27,2000,county_(united_states),4.3129934500652276e-05,0.00564066852367688,0.005571030640668524,10.343796711509716,0.9311064718162839
28,2500,philosophy,0.0005194476118079311,0.08767049157382255,0.003990877993158495,10.391875,0.9116809116809117
29,2500,awareness,0.0009151244042920212,0.0831986113868128,0.0011402508551881414,10.391875,0.9116809116809117
30,2500,knowledge,0.0009966637104607459,0.07122196951502993,0.002280501710376283,10.391875,0.9116809116809117
31,2500,science,0.0006896730956024,0.050776231011786445,0.006271379703534778,10.391875,0.9116809116809117
32,2500,language,0.00013838942003138128,0.007774437649010055,0.002280501710376283,10.391875,0.9116809116809117
33,2500,philosophy_of_logic,9.648276466976581e-05,0.00981763157706016,0.0005701254275940707,10.391875,0.9116809116809117
34,2500,county_(united_states),3.183606376308771e-05,0.00518295843267337,0.005131128848346636,10.391875,0.9116809116809117
35,3000,philosophy,0.00044176397382104823,0.0875046579825868,0.0033832769453842437,10.444796619123085,0.9144927536231884
36,3000,awareness,0.0007679501637935664,0.0818074040783355,0.0009666505558240696,10.444796619123085,0.9144927536231884
37,3000,knowledge,0.0008291246675679398,0.07000708030012788,0.002416626389560174,10.444796619123085,0.9144927536231884
38,3000,science,0.0005984360808157223,0.051089040989101796,0.005799903334944418,10.444796619123085,0.9144927536231884
39,3000,language,0.00013215560739044042,0.009097887584226538,0.002416626389560174,10.444796619123085,0.9144927536231884
40,3000,philosophy_of_logic,8.94268509373475e-05,0.01058990358168705,0.0004833252779120348,10.444796619123085,0.9144927536231884
41,3000,county_(united_states),2.9186309052659107e-05,0.005445464797808925,0.005316578057032383,10.444796619123085,0.9144927536231884
42,3500,philosophy,0.0003791246236290932,0.08652396547003031,0.003372681281618887,10.392974238875878,0.8997050147492626
43,3500,awareness,0.0006546739634832279,0.08024814987382009,0.0008431703204047217,10.392974238875878,0.8997050147492626
44,3500,knowledge,0.0007150780740895501,0.06954032136065509,0.002951096121416526,10.392974238875878,0.8997050147492626
45,3500,science,0.0005143232358979497,0.050119351650538976,0.00505902192242833,10.392974238875878,0.8997050147492626
46,3500,language,0.00012791458716632947,0.010468190946886308,0.003372681281618887,10.392974238875878,0.8997050147492626
47,3500,philosophy_of_logic,8.119023102085078e-05,0.011215804998955746,0.00042158516020236085,10.392974238875878,0.8997050147492626
48,3500,county_(united_states),3.180098764274024e-05,0.005853547801271241,0.005902192242833052,10.392974238875878,0.8997050147492626
49,4000,philosophy,0.0003314329561746552,0.05667506928419423,0.0033027522935779817,15.935038570848558,0.9035216434336023
