,iteration,node,betweeness_centrality,closeness_centrality,in_degree_centrality,size_of_gcc
0,3000,u.s._state,8.326546330725217e-05,0.017469256407309505,0.013972985561248253,0.19320297951582868
1,3000,society,0.0008549888589075398,0.011662951392675865,0.002328830926874709,0.19320297951582868
2,3000,person,0.0007966596671636575,0.010487842516067524,0.0004657661853749418,0.19320297951582868
3,3000,organism,0.0006919273265975043,0.010748921854993975,0.004191895668374477,0.19320297951582868
4,3000,federated_state,7.090574609758192e-05,0.012680049552883788,0.0009315323707498836,0.19320297951582868
5,3000,united_kingdom,2.1033202970842343e-05,0.006028793770246437,0.004657661853749418,0.19320297951582868
6,3000,individual,0.0008463153731463677,0.011459594783418726,0.0013972985561248254,0.19320297951582868
7,3250,u.s._state,7.654829692204725e-05,0.017417366396508562,0.013846819558632626,0.18901384083044984
8,3250,society,0.0007888779254924919,0.011548291426791037,0.0021635655560363477,0.18901384083044984
9,3250,person,0.0007325428707894693,0.010332534905549778,0.00043271311120726956,0.18901384083044984
10,3250,india,9.86331356428335e-05,0.005963327563825184,0.005192557334487235,0.18901384083044984
11,3250,federated_state,6.719031441323952e-05,0.01283715563248233,0.0008654262224145391,0.18901384083044984
12,3250,united_states,3.5747493183645536e-05,0.006930621664503102,0.004327131112072695,0.18901384083044984
13,3250,individual,0.0007783969850826272,0.011290092653790296,0.0012981393336218088,0.18901384083044984
14,3500,australia,1.1340182803746797e-05,0.005353410765066639,0.004428341384863124,0.1919517102615694
15,3500,u.s._state,7.030913338323014e-05,0.017412021734421936,0.013687600644122383,0.1919517102615694
16,3500,society,0.0007379218953009523,0.011348072503882499,0.002012882447665056,0.1919517102615694
17,3500,person,0.0006826790047855572,0.010135515985673757,0.00040257648953301127,0.1919517102615694
18,3500,india,9.703956427777616e-05,0.005655708731000353,0.004830917874396135,0.1919517102615694
19,3500,federated_state,6.399103153542835e-05,0.01333222277750014,0.0012077294685990338,0.1919517102615694
20,3500,sun,6.966112293730176e-05,0.011508409541535834,0.0012077294685990338,0.1919517102615694
21,3500,individual,0.0007256096968283129,0.011057500536958056,0.0012077294685990338,0.1919517102615694
22,3750,australia,1.0446342148901303e-05,0.005328540799596417,0.004540295119182747,0.18986384266263237
23,3750,u.s._state,6.425215924461212e-05,0.017028256457881884,0.01324252743094968,0.18986384266263237
24,3750,society,0.0006810156477619355,0.01111387145824856,0.0018917896329928114,0.18986384266263237
25,3750,person,0.0006330769543388953,0.010001145487300711,0.00037835792659856227,0.18986384266263237
